	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
NN (L) Invest Japan	-11	-11	-4	-14	35	52	8,8	0,68	1,65	16	0,7	JPY	2000	Utländsk	920439	NN Asset Management BV	Japan	
Nordea Generationsfond 40-tal	0	0	2	-2	21	35	6,2	0,19	0,51	4,4	1,4	SEK	2000	Svensk	466805	Nordea Funds Ab	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Generationsfond 50-tal	-2	-2	3	-5	34	46	7,9	0,19	0,51	8,8	1,1	SEK	2000	Svensk	430975	Nordea Funds Ab	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Generationsfond 60-tal	-4	-4	2	-10	38	51	8,6	0,2	0,51	12	0,9	SEK	2000	Svensk	359315	Nordea Funds Ab	Pension om mindre än 20 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Generationsfond 70-tal	-4	-4	2	-10	38	51	8,6	0,2	0,51	12	0,9	SEK	2000	Svensk	287656	Nordea Funds Ab	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Placeringsfond UB Asia REIT Plus	0	0	5	-11	17	56	9,3	0,69	1,7	14	0,4	EUR	2015	Utländsk	816249	UB Fondbolag Ab	Övriga branscher	
Placeringsfond UB EM Infra	2	2	6	-8	32	61	10	0,69	1,7	13,4	0,7	EUR	2015	Utländsk	744581	UB Fondbolag Ab	Övriga branscher	
Placeringsfond UB Europa REIT	1	1	3	-5	39	60	9,9	0,52	1,2	12,7	0,9	EUR	2015	Utländsk	852079	UB Fondbolag Ab	Global	
Placeringsfond UB Global REIT	3	3	6	-6	38	60	9,8	0,59	1,4	13	0,9	EUR	2015	Utländsk	887901	UB Fondbolag Ab	Global	
Placeringsfond UB Infra	4	4	5	-2	47	62	10,1	0,59	1,4	10,1	1,3	EUR	2015	Utländsk	780411	UB Fondbolag Ab	Övriga branscher	
Placeringsfond UB Nordamerika REIT	5	5	10	-6				0,52	1,2			EUR	2015	Utländsk	369876	UB Fondbolag Ab	Nordamerika och USA	
Morgan Stanley Investment Funds US Advantage Fund	-7	-7	2	-8	74	116	16,7	0,89	2,7	15,6	1,3	USD	2007	Utländsk	815837	Morgan Stanley Investment Management Ltd	Nordamerika och USA	
Baring Global Emerging Markets Fund	-2	-2	5	-14	11	-5	-1	0,73	2,16	16,4	0,3	USD	2000	Utländsk	191080	Baring International Fund Managers (Ireland) Ltd	Nya marknader	
Granit Global 85	-1	-1	-2	-10				0,62	2			SEK	2014	Svensk	836908	Granit Fonder AB	Utländska aktier och räntor	
Lannebo Likviditetsfond	0	0	0	0	4	10	1,9	0,12	0,2	0,4	2,7	SEK	2001	Svensk	478313	Lannebo Fonder AB	Sverige kort	
Danske Invest Horisont Aktie	-3	-3	2	-11	34	49	8,4	0,61	1,76	12,2	0,8	SEK	2005	Svensk	891804	Danske Capital AB	Svenska och utländska aktier	
Evli Ryssland	10	10	10	2	-27	-51	-13,4	0,78	2,75	28,2	-0,2	EUR	2004	Utländsk	889386	Evli Fondbolag Ab	Ryssland	
Nordea Generationsfond 80-tal	-4	-4	2	-10	38	42	7,2	0,2	0,51	12	0,9	SEK	2000	Svensk	215996	Nordea Funds Ab	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Generationsfond 90-tal	-4	-4	2	-10				0,21	0,6			SEK	2014	Svensk	596429	Nordea Funds Ab	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Europe Fund	-7	-7	-4	-11				0,32	1,5			SEK	2014	Utländsk	564849	Nordea Funds Ab	Europa	Fonden tar miljö och/eller etisk hänsyn
Nordea Global	-7	-7	0	-13	42	53	8,9	0,26	1	13,3	0,9	SEK	2012	Utländsk	282517	Nordea Funds Ab	Global	Fonden tar miljö och/eller etisk hänsyn
Nordea Japan Fund	-9	-9	1	-12	35			0,25	1	16,6	0,7	SEK	2013	Utländsk	218115	Nordea Funds Ab	Japan	Fonden tar miljö och/eller etisk hänsyn
Alfred Berg Ränteallokering Plus	0	0	-1	-2	0	10	2	0,33	0,85	1,2	-0,3	SEK	2000	Svensk	325902	Alfred Berg Fonder AB	Övriga utländska	
SEB Obligationsfond Flexibel SEK	0	0	0	-1	2	6	1,2	0,17	0,5	0,6	0,7	SEK	2005	Svensk	413260	SEB Investment Management AB	Sverige lång	
Avaron Emerging Europe Fund	3	3	3	-2	39	24	4,3	0,89	2,31	10,2	1,1	EUR	2012	Utländsk	666313	Avaron Asset Management, AS	Östeuropa	Fonden tar miljö och/eller etisk hänsyn
Aviva Investors - Emerging Europe Equity Fund	5	5	0	-4	22	2	0,4	0,86	2,18	12,3	0,6	EUR	2004	Utländsk	288183	Aviva Investors Luxembourg S.A.	Östeuropa	
Aviva Investors - European Equity Fund	-6	-6	2	-4	59	66	10,6	0,83	2,09	12	1,3	EUR	2002	Utländsk	579722	Aviva Investors Luxembourg S.A.	Euroland	
Aviva Investors - European Real Estate Securities Fund	-5	-5	-6	-7	65	64	10,5	0,83	2,1	14,3	1,2	EUR	2004	Utländsk	252353	Aviva Investors Luxembourg S.A.	Övriga branscher	
SEB Sverige Expanderad	-5	-5	0	-11	40	57	9,4	0,34	1,3	12,8	0,9	SEK	2002	Svensk	158261	SEB Investment Management AB	Sverige	
GodFond Sverige & Världen	-4	-4	0	-14	32	45	7,7	0,24	0,86	12,4	0,8	SEK	2012	Svensk	201111	SPP Fonder AB	Svenska och utländska aktier	Fonden tar miljö och/eller etisk hänsyn
Pictet Emerging Europe	8	8	5	-12	-22	-37	-8,8	0,8	2,89	19,6	-0,3	EUR	2000	Utländsk	368407	Pictet Funds (Europe) S.A.	Östeuropa	
Gustavia Balkan	6	6	3	-11	-6	-19	-4,1	0,89	2,55	14,4	-0,1	SEK	2003	Svensk	534156	Isec Services AB	Östeuropa	
Gustavia Energi och Råvaror	11	11	10	-19	-37			0,89	2,74	22,2	-0,6	SEK	2012	Svensk	312850	Isec Services AB	Övriga branscher	
Movestic MF - Movestic Globala Tillväxtmarknader	-6	-6						0,74	1,89			SEK	2016	Utländsk	640102	Oppenheim Asset Management Services S.à.r.l	Nya marknader	
Handelsbanken Pension 50 	-2	-2	1	-7	30			0,01	0,01	8,1	1,1	SEK	2012	Utländsk	314682	Handelsbanken Funds	Pension om mindre än 10 år	
Handelsbanken Pension 60 	-4	-4	0	-11	42			0,01	0,01	12,4	1	SEK	2012	Utländsk	350512	Handelsbanken Funds	Pension om mindre än 20 år	
Handelsbanken Pension 80 	-4	-4	1	-11	42			0,01	0,01	12,3	1	SEK	2012	Utländsk	243022	Handelsbanken Funds	Pension om mer än 20 år	
Handelsbanken Pension 90 	-4	-4	0	-12				0,01	0,01			SEK	2015	Utländsk	337709	Handelsbanken Funds	Pension om mer än 20 år	
INVL Emerging Europe ex Russia TOP20 Subfund	2	2	2	-3	28	2	0,4	0,89	2,33	12,4	0,7	EUR	2013	Utländsk	161620	INVL Asset Management UAB	Östeuropa	
Handelsbanken Långränta Criteria	2	2	1	-2	7	22	4	0,21	0,8	2,9	0,7	SEK	2000	Utländsk	682377	Handelsbanken Funds	Sverige lång	
UBS (Lux) Str. Sicav - Rogers Int Commodity Index (EUR)	0	0	-15	-24	-45	-58	-15,8	0,48	1,49	14,2	-1,3	EUR	2008	Utländsk	734434	UBS Third Party Management Company S.A.	Övriga branscher	
F&C Portfolios Fund - BMO Responsible Global Emerging Markets Equity	5	5	4	-15	6	-3	-0,5	0,74	1,84	14,6	0,2	USD	2008	Utländsk	295972	F&C Management Ltd.	Nya marknader	
DNB Fund - China Century	-14	-14	-12	-31	15	-24	-5,4	0,6	1,6	21,8	0,3	SEK	2013	Utländsk	374181	DNB Asset Management S.A.	Kina	
DNB Fund - Far East	-4	-4	1	-15	20	30	5,3	0,51	1,34	15,2	0,5	SEK	2003	Utländsk	586982	DNB Asset Management S.A.	Asien och Fjärran östern	
Handelsbanken Lux Korträntefond 	0	0	0	0	2	7	1,3	0,11	0,19	0,2	2,6	SEK	2000	Utländsk	718205	Handelsbanken Funds	Sverige kort	
Handelsbanken Pension 40 	0	0	1	-3	16			0,01	0,01	3,8	1,3	SEK	2012	Utländsk	167114	Handelsbanken Funds	Pension om mindre än 10 år	
Handelsbanken Pension 70 	-4	-4	1	-11	42			0,01	0,01	12,3	1	SEK	2012	Utländsk	278853	Handelsbanken Funds	Pension om mer än 20 år	
GFG Fund SICAV - Global Medium Risk Fund	-7	-7	-3	-18				0,61	1,83			SEK	2015	Utländsk	137307	Oppenheim Asset Management Services S.à.r.l	Utländska aktier och räntor	
Catella Avkastningsfond	0	0	0	-1	4	13	2,5	0,28	0,72	1	1,2	SEK	2000	Svensk	112755	Catella Fondförvaltning AB	Övriga utländska	
Catella Reavinstfond	-5	-5	0	-12	36	45	7,7	0,57	1,59	14,9	0,7	SEK	2000	Svensk	220244	Catella Fondförvaltning AB	Sverige	
Catella Småbolagsfond SEK Allmän klass	-3	-3	19	15	99	92	13,9	0,56	1,53	15,6	1,6	SEK	2000	Svensk	184416	Catella Fondförvaltning AB	Sverige småbolag	
Catella Sverige Index	-4	-4	2	-8	41	55	9,2	0,29	0,62	13,4	0,9	SEK	2000	Svensk	838441	Catella Fondförvaltning AB	Sverige index	
AP7 Räntefond	0	0	0	1	6	13	2,4	0,04	0,04	0,8	2,2	SEK	2010	Svensk	545541	Sjunde AP-Fonden	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
AP7 Aktiefond	-5	-5	3	-11	62	86	13,3	0,11	0,11	15,7	1,1	SEK	2010	Svensk	581371	Sjunde AP-Fonden	Global	Fonden tar miljö och/eller etisk hänsyn
Gustavia Global Tillväxt	-11	-11	-6	-13	32	41	7,1	0,89	2,37	12,7	0,8	SEK	2010	Svensk	993097	Isec Services AB	Global	
Gustavia Kazakstan och Centralasien	2	2	-3	-23	-25	-53	-14,1	0,89	2,69	19	-0,4	SEK	2010	Svensk	293498	Isec Services AB	Asien och Fjärran östern	
Gustavia Ny Teknik	-6	-6	5	0	87	81	12,7	0,67	1,62	13,3	1,6	SEK	2011	Svensk	456236	Isec Services AB	Övriga branscher	
Gustavia Ryssland	9	9	9	-4	-18	-44	-10,9	0,89	2,56	24,8	-0,1	SEK	2005	Svensk	649491	Isec Services AB	Ryssland	
Gustavia Småbolag	0	0	10	2	62	59	9,7	0,66	1,61	14,4	1,2	SEK	2011	Svensk	524231	Isec Services AB	Sverige småbolag	
Gustavia Sverige	0	0	6	-7	43	54	9	0,63	1,53	13,7	0,9	SEK	2003	Svensk	569988	Isec Services AB	Sverige	
Zensum Tillväxt	-9	-9	-4					0,89	2,25			SEK	2015	Svensk	572107	Isec Services AB	Global	
Zensum Trygg	-2	-2	-1					0,62	1,5			SEK	2015	Svensk	536276	Isec Services AB	Utländska aktier och räntor	
